# Easting, Northing, M_plot
480436,139989,1
480430,139987,0
480424,139984,0
480418,139982,0
480412,139979,0
480406,139977,0
480400,139974,0
480394,139972,0
480388,139969,0
480382,139967,0
480376,139964,0
480370,139962,0
480364,139960,0
480358,139957,0
480352,139955,0
480346,139952,0
480340,139950,0
480334,139947,0
480328,139945,0
480322,139942,0
480316,139940,0
480310,139937,0
480304,139935,1
480299,139929,0
480294,139923,0
480290,139917,0
480285,139911,0
480280,139905,0
480275,139899,0
480270,139893,0
480266,139887,0
480261,139881,0
480256,139875,0
480251,139870,0
480246,139864,0
480242,139858,0
480237,139852,0
480232,139846,0
480227,139840,0
480222,139834,0
480218,139828,0
480213,139822,0
480208,139816,1
480202,139818,0
480196,139819,0
480190,139821,0
480184,139823,0
480178,139824,0
480172,139826,0
480166,139828,0
480160,139829,0
480154,139831,0
480148,139832,0
480141,139834,0
480135,139836,0
480129,139837,0
480123,139839,0
480117,139841,0
480111,139842,0
480105,139844,0
480099,139846,0
480093,139847,0
480087,139849,1
480087,139858,0
480087,139867,0
480087,139876,0
480087,139885,0
480081,139885,0
480075,139885,0
480068,139885,0
480062,139885,0
480056,139885,0
480050,139885,0
480044,139885,0
480037,139885,0
480031,139885,0
480025,139885,0
480019,139885,0
480013,139885,0
480007,139885,0
480000,139885,0
479994,139885,0
479988,139885,0
479982,139885,0
479976,139885,0
479969,139885,0
479963,139885,0
479957,139885,1
479951,139885,0
479945,139886,0
479938,139886,0
479932,139886,0
479926,139887,0
479920,139887,0
479914,139887,0
479907,139888,0
479901,139888,0
479895,139888,0
479889,139889,0
479883,139889,0
479876,139890,0
479870,139890,0
479864,139890,0
479858,139891,0
479852,139891,0
479845,139891,0
479839,139892,0
479833,139892,1
479834,139883,0
479835,139874,0
479835,139865,0
479836,139856,0
479837,139847,0
479838,139838,0
479838,139829,0
479839,139820,1
479843,139812,0
479846,139804,0
479850,139796,0
479853,139788,0
479857,139781,0
479860,139773,0
479864,139765,0
479867,139757,1
479861,139756,0
479855,139755,0
479849,139754,0
479842,139753,0
479836,139752,0
479830,139751,0
479824,139749,0
479818,139748,0
479812,139747,0
479806,139746,0
479800,139745,0
479793,139744,0
479787,139743,0
479781,139742,0
479775,139741,0
479769,139740,0
479763,139739,0
479757,139738,0
479751,139736,0
479744,139735,0
479738,139734,0
479732,139733,0
479726,139732,0
479720,139731,0
479714,139730,0
479708,139729,0
479701,139728,0
479695,139727,0
479689,139726,0
479683,139725,0
479677,139724,0
479671,139722,0
479665,139721,0
479659,139720,0
479652,139719,0
479646,139718,0
479640,139717,0
479634,139716,1
479628,139716,0
479622,139716,0
479615,139716,0
479609,139716,0
479603,139716,0
479597,139717,0
479590,139717,0
479584,139717,0
479578,139717,0
479572,139717,0
479566,139717,0
479559,139717,0
479553,139717,0
479547,139717,0
479541,139717,0
479535,139717,0
479528,139717,0
479522,139718,0
479516,139718,0
479510,139718,0
479503,139718,0
479497,139718,0
479491,139718,1
480280,140144,1
480274,140141,0
480269,140138,0
480263,140135,0
480258,140132,0
480252,140129,0
480246,140126,0
480241,140123,0
480235,140120,0
480229,140117,0
480224,140114,0
480218,140111,0
480213,140108,0
480207,140105,1
480201,140105,0
480195,140105,0
480189,140104,0
480182,140104,0
480176,140104,0
480170,140104,0
480164,140103,0
480158,140103,0
480152,140103,0
480145,140103,0
480139,140102,0
480133,140102,0
480127,140102,0
480121,140102,0
480115,140101,0
480108,140101,0
480102,140101,0
480096,140101,0
480090,140101,0
480084,140100,0
480078,140100,0
480071,140100,0
480065,140100,0
480059,140099,0
480053,140099,0
480047,140099,0
480041,140099,0
480034,140098,0
480028,140098,0
480022,140098,1
480016,140094,0
480011,140090,0
480005,140086,0
479999,140082,0
479994,140078,0
479988,140074,0
479982,140070,0
479977,140066,0
479971,140062,0
479966,140058,0
479960,140054,0
479954,140050,0
479949,140046,0
479943,140042,0
479937,140038,0
479932,140034,0
479926,140030,0
479920,140026,0
479915,140022,0
479909,140018,0
479903,140014,0
479898,140010,0
479892,140005,0
479887,140001,0
479881,139997,0
479875,139993,0
479870,139989,0
479864,139985,0
479858,139981,0
479853,139977,0
479847,139973,0
479841,139969,0
479836,139965,0
479830,139961,0
479824,139957,0
479819,139953,0
479813,139949,0
479808,139945,0
479802,139941,0
479796,139937,0
479791,139933,0
479785,139929,0
479779,139925,0
479774,139921,0
479768,139917,1
479762,139913,0
479757,139910,0
479751,139906,0
479745,139903,0
479739,139899,0
479734,139895,0
479728,139892,0
479722,139888,0
479716,139885,0
479711,139881,0
479705,139878,0
479699,139874,0
479694,139870,0
479688,139867,0
479682,139863,0
479676,139860,0
479671,139856,0
479665,139852,0
479659,139849,0
479654,139845,0
479648,139842,0
479642,139838,0
479636,139835,0
479631,139831,0
479625,139827,0
479619,139824,0
479613,139820,0
479608,139817,0
479602,139813,1
479597,139819,0
479592,139825,0
479587,139831,0
479583,139837,0
479578,139843,0
479573,139849,0
479568,139855,0
479563,139861,0
479558,139867,0
479553,139873,0
479549,139880,0
479544,139886,0
479539,139892,0
479534,139898,0
479529,139904,0
479524,139910,0
479519,139916,0
479515,139922,0
479510,139928,0
479505,139934,0
479500,139940,1
480086,140328,1
480081,140323,0
480075,140318,0
480070,140313,0
480064,140308,0
480059,140303,0
480053,140298,0
480048,140293,0
480043,140288,0
480037,140283,0
480032,140278,0
480026,140273,0
480021,140268,0
480015,140263,0
480010,140258,1
480004,140255,0
479998,140252,0
479992,140249,0
479987,140247,0
479981,140244,0
479975,140241,0
479969,140238,0
479963,140235,0
479957,140232,0
479951,140230,0
479945,140227,0
479940,140224,0
479934,140221,0
479928,140218,0
479922,140215,0
479916,140213,0
479910,140210,0
479904,140207,0
479898,140204,0
479893,140201,0
479887,140198,0
479881,140196,0
479875,140193,0
479869,140190,1
479864,140185,0
479859,140180,0
479853,140175,0
479848,140170,0
479843,140165,0
479838,140161,0
479832,140156,0
479827,140151,0
479822,140146,0
479817,140141,0
479811,140136,0
479806,140131,0
479801,140126,0
479796,140121,0
479790,140116,0
479785,140112,0
479780,140107,0
479775,140102,0
479769,140097,0
479764,140092,0
479759,140087,1
479753,140090,0
479747,140093,0
479741,140096,0
479735,140100,0
479729,140103,0
479723,140106,0
479717,140109,0
479711,140112,0
479705,140115,0
479700,140118,0
479694,140122,0
479688,140125,0
479682,140128,0
479676,140131,0
479670,140134,0
479664,140137,0
479658,140141,0
479652,140144,0
479646,140147,0
479640,140150,1
479639,140141,0
479639,140131,0
479638,140122,0
479638,140112,0
479637,140103,0
479636,140094,0
479636,140084,0
479635,140075,0
479634,140066,0
479634,140056,0
479633,140047,0
479633,140037,0
479632,140028,0
479631,140019,0
479631,140009,0
479630,140000,1
479624,140003,0
479618,140007,0
479613,140010,0
479607,140014,0
479601,140017,0
479595,140020,0
479589,140024,0
479584,140027,0
479578,140031,0
479572,140034,0
479566,140037,0
479560,140041,0
479555,140044,0
479549,140048,0
479543,140051,1
